Hora,T(°C),V(m/s),T(°C),V(m/s),T(°C),V(m/s)
08:50,26.5110416,0.2,25.9954719,1.1,22.4389888,1.7
08:56,26.2498549,0.1,24.1988333,0.9,22.6433724,1.4
09:02,27.5439838,0.2,24.9099593,1.4,24.3568908,1.9
09:08,27.1336219,0.1,24.9099593,1.2,22.6433724,1.6
09:14,30.9939751,0.2,27.8384996,0.7,25.0386083,1.8
09:20,27.2241122,0,25.249689,1.1,22.4389888,1.3
09:26,26.3800359,0.2,25.2008402,1.2,23.0165205,1.5
09:32,26.1204885,0.3,24.9099593,1.3,24.5364593,1.9
09:38,30.1411944,0.2,29.3127566,0.9,26.8754094,1.2
09:44,27.5439838,0.2,26.1986045,1.3,24.4016345,1.5
09:50,27.9157152,0.1,25.1034605,1.6,23.5678953,2.2
09:56,28.3420602,0,26.0460829,0.9,23.8711,1.3
10:02,26.8645032,0.1,27.1361607,0.8,24.5816003,1.4
10:08,28.2942521,0.2,25.2008402,1.1,24.8545708,1.5
